REGION,BENEFICIARIOS,PUESTOS,COSTO
0,1371,87,12
0,368,71,9
0,450,49,9
0,1062,57,9
0,248,31,7
0,117,35,7
0,214,44,8
0,275,50,9
0,345,42,9
0,408,66,10
0,398,89,11
0,27102,10,0
0,27102,5,0
0,27102,5,0
0,1485,19,2
0,2019,17,2
0,1010,8,0
0,1010,14,0
0,1221,17,1
0,468,25,4
0,1320,52,7
0,485,34,5
0,485,34,5
0,2229,9,0
0,80,21,3
1,310,35,8
1,2480,191,13
1,455,66,9
1,905,113,12
1,718,65,10
1,550,71,8
1,110,38,6
1,2095,142,12
1,1095,141,12
1,1131,116,12
1,1172,117,12
1,640,70,9
1,1500,78,10
1,1342,121,12
1,285,23,3
1,285,20,3
1,285,19,2
1,2722,67,8
1,828,26,4
1,720,20,2
1,313,20,2
1,83,17,1
1,352,16,1
1,50,17,2
2,241,39,8
2,242,44,8
2,135,41,7
2,913,70,10
2,959,72,11
2,2090,87,11
2,695,51,9
2,172,40,6
2,2046,10,0
2,1116,23,3
2,1278,10,0
2,1585,40,6
2,730,16,1
2,120,25,4
2,177,23,3
2,936,19,2
2,730,17,1
3,4815,35,12
3,547,56,9
3,158,40,6
3,292,20,2
3,7105,385,12
3,140,29,4
3,967,18,2
3,520,21,3
3,80,31,5
3,134,28,4
3,168,26,4
4,3160,55,12
4,1238,27,9
4,314,28,7
4,356,64,8
4,694,100,10
4,2525,97,12
4,1435,76,11
4,765,71,9
4,3308,167,12
4,926,89,10
4,2875,262,12
4,1080,125,12
4,839,175,10
4,1121,137,12
4,2600,120,12
4,2058,62,10
4,77,45,5
4,1390,129,12
4,1019,123,12
4,1490,135,12
4,1632,83,10
4,406,59,9
4,839,92,11
4,85,57,7
4,1379,11,0
4,1331,14,0
4,911,15,1
4,3427,17,2
4,1957,19,2
4,240,20,3
4,665,17,1
4,554,44,6
4,1260,55,7
4,987,98,10
4,7342,8,0
4,3279,18,2
4,389,16,1
4,1670,15,1
4,470,31,5
4,1111,21,3
4,795,15,1
4,2028,15,1
4,2028,15,1
4,1019,14,0
4,350,28,4
4,2500,38,6
4,2000,29,4
4,2500,34,5
4,1330,17,1
4,2070,39,6
4,111,17,2
4,99,20,3
4,239,19,2
4,1172,29,5
4,172,23,4
4,560,37,6
4,1201,31,5
4,295,99,10
4,88,26,4
5,566,18,4
5,2319,33,11
5,2059,18,4
5,227,64,10
5,503,85,11
5,459,90,11
5,208,39,8
5,299,39,8
5,218,35,7
5,450,49,9
5,218,40,8
5,364,41,9
5,286,42,8
5,362,49,9
5,313,41,8
5,347,57,8
5,700,172,11
5,2682,109,11
5,1020,68,11
5,1630,114,11
5,479,76,11
5,780,95,10
5,596,86,9
5,385,49,9
5,390,53,9
5,475,29,6
5,1024,116,12
5,760,69,10
5,545,56,6
5,682,79,10
5,878,70,10
5,633,62,10
5,587,95,10
5,1552,136,12
5,244,48,7
5,1352,138,12
5,955,112,11
5,650,58,10
5,286,64,10
5,1033,148,11
5,314,68,10
5,208,50,9
5,178,47,8
5,275,49,9
5,406,71,10
5,658,97,11
5,535,62,9
5,840,72,9
5,599,81,10
5,980,74,9
5,625,75,10
5,822,42,9
5,670,100,10
5,1264,177,11
5,645,92,9
5,800,13,0
5,748,13,0
5,966,13,0
5,993,69,8
5,158,188,11
5,836,17,2
5,193,22,3
5,182,31,5
5,173,42,6
5,162,29,4
5,45755,26,4
5,230,43,6
5,399,23,3
5,126,34,5
5,382,26,4
5,190,23,3
5,736,34,5
5,400,122,10
6,860,48,7
6,860,31,5
6,5191,17,2
7,2361,57,12
7,1056,21,6
7,196,43,8
7,255,42,8
7,432,52,8
7,174,45,7
7,200,32,6
7,1280,77,10
7,1063,159,12
7,330,31,9
7,458,72,11
7,408,46,8
7,745,44,9
7,518,56,9
7,676,33,5
7,673,23,3
7,1527,18,2
7,3096,11,0
7,154,34,5
8,1089,173,12
8,956,126,12
8,595,77,11
8,253,47,6
8,1099,144,12
8,307,76,9
8,243,27,7
8,679,83,10
8,237,95,10
8,323,62,8
8,278,89,9
8,96,55,7
8,28,49,7
8,910,8,0
8,493,28,4
8,258,43,6
8,1303,15,1
8,3544,17,1
8,1573,47,7
8,100,37,6
8,113,17,1
8,278,29,4
8,530,38,6
8,95,17,2
8,799,14,0
8,688,203,12
8,688,12,0
9,3667,74,13
9,512,39,8
9,205,29,6
9,2140,69,11
9,561,123,11
9,661,104,12
9,2275,372,13
9,282,48,9
9,705,67,10
9,580,88,11
9,220,38,7
9,308,71,9
9,243,31,7
9,420,30,7
9,150,42,7
9,580,65,10
9,12240,24,0
9,436,18,4
9,3127,35,6
9,2028,14,0
9,1758,22,3
9,850,15,1
9,643,31,5
9,60,28,4
9,115,19,2
9,1120,17,1
9,156,23,3
9,250,81,9
9,8652,85,9
9,529,19,2
10,385,14,0
10,6509,136,12
10,505,115,12
10,38660,60,3
10,12165,65,3
10,12359,65,2
10,98080,28,5
10,17611,15,0
10,1490,11,0
10,6450,148,11
10,1261,61,8
10,550,31,5
10,240,41,6
10,300,38,6
10,96,17,2
10,1015,49,7
11,3966,42,12
11,1897,18,5
11,1121,20,5
11,426,39,9
11,527,40,9
11,145,47,7
11,376,40,8
11,955,67,10
11,368,56,8
11,1015,55,11
11,723,74,10
11,265,45,8
11,150,59,8
11,140,42,8
11,189,35,7
11,242,46,7
11,319,64,8
11,1520,73,10
11,725,87,9
11,684,19,2
11,1805,22,3
11,2021,72,9
11,253,16,1
11,1250,17,1
11,6053,18,2
11,390,81,9
11,465,72,9
11,230,29,4
11,100,17,2
11,264,43,6
11,196,25,4
11,18520,22,3
11,390,19,2
11,190,12,0
12,37628,132,13
12,15964,74,12
12,410,43,9
12,519,97,11
12,686,126,11
12,2228,127,11
12,364,48,8
12,1535,92,12
12,790,79,9
12,219,66,6
12,462,65,10
12,590,83,10
12,375,65,8
12,295,35,5
12,366,51,7
12,4245,122,10
12,2087,10,0
12,2026,16,1
12,211,21,3
12,278,47,7
12,176,15,1
12,600,34,5
12,600,38,6
12,1960,22,3
12,391,20,3
12,440,25,4
12,65,26,4
12,240,38,6
12,102,25,4
12,115,18,2
12,135,16,1
12,421,29,4
12,70,47,7
12,700,40,6
12,768,31,5
12,67,32,5
12,180,35,5
12,136,31,5
12,1466,42,6
12,1546,144,11
12,836,176,11
12,2110,341,12
12,84,34,5
13,591,93,12
13,3108,17,1
13,1096,8,0
13,850,14,0
13,560,17,1
13,400,28,4
13,398,26,4
13,675,23,3
13,400,29,5
13,200,29,4
13,360,23,4
13,455,20,2
13,240,35,5
13,525,17,1
13,2000,31,5
13,100,31,5
13,2374,17,2
13,482,52,7
13,2200,40,6
13,475,32,5
14,1697,100,5
14,17845,50,5
14,30000,4,1
14,1857,7,0
14,2028,12,0
14,2029,66,8
14,2150,126,10
14,4987,141,11
14,8720,143,11
14,207,53,7
14,587,52,7
14,173,39,6
14,3786,36,6
14,694,19,2
14,1870,31,5
14,1143,31,5
14,1787,28,4
14,94,14,0
14,640,26,4
14,1787,23,3
14,284,21,3
14,3749,17,1
14,748,86,9
14,1800,153,11
14,2940,50,7
14,902,12,0
14,72970,11,0
14,4514,101,10
14,1705,176,11
14,5676,43,6
14,5035,11,0
14,2342,11,0
14,4338,11,0
14,660,14,0
14,3540,165,11
14,2254,110,10
14,1741,17,1
14,881,11,0
14,1350,9,0
14,290,18,2
14,6936,29,4
14,4120,40,6
14,304,23,3
14,300,16,1
14,104,16,1
14,115,22,3
14,207,17,2
14,844,16,1
14,3088,42,6
14,320,21,3
14,280,20,2
14,1717,17,1
14,1511,39,6
14,250,16,1
14,480,21,3
14,820,18,2
14,360,18,2
14,1280,20,2
14,160,23,3
14,221,47,7
14,555,52,7
14,789,36,6
14,773,18,2
14,797,23,4
14,699,23,3
14,299,17,1
14,2000,20,3
14,1800,38,6
14,1600,29,4
14,1000,23,3
14,6170,266,12
14,3045,812,13
14,12654,254,12
14,1148,20,2
15,3229,34,11
15,2156,152,13
15,585,133,12
15,29695,70,12
15,140112,25,0
15,11000,12,0
15,2019,22,3
15,2829,261,12
15,250,55,7
15,180,17,2
15,220,23,3
15,208,20,3
15,275,16,1
15,243,20,3
15,300,31,5
15,250,22,3
15,80,52,7
15,1356,211,12
16,3396,29,10
16,6603,60,13
16,55968,60,8
16,92000,18,5
16,14448,22,3
16,761,34,5
17,256,30,6
17,218,71,9
17,735,16,1
17,11241,17,1
17,486,17,1
17,215,17,2
18,152,100,7
18,185,101,8
18,113,58,7
18,230,146,8
18,150,70,7
18,63,30,4
18,170,116,8
18,100,118,6
18,110,78,6
18,94,79,7
18,81,100,8
18,218,81,7
18,185,67,5
18,165,88,5
18,185,90,6
18,110,83,7
18,18852,122,12
18,358,70,10
18,205,35,7
18,353,44,8
18,3171,188,13
18,2197,200,13
18,350,50,9
18,321,41,9
18,384,43,8
18,4122,390,13
18,926,19,2
18,1570,47,7
18,1725,11,0
18,1906,34,5
18,1670,25,4
18,934,26,4
18,1725,60,8
18,1570,26,4
18,78,25,4
18,1570,25,4
18,1670,23,3
18,36,25,4
18,1725,51,7
18,1906,17,2
18,78,17,1
18,1906,16,1
18,78,16,1
18,1218,22,3
18,800,152,11
18,982,15,1
18,1608,19,2
18,1680,13,0
18,606,13,0
18,99,17,1
19,2120,35,11
19,1680,34,10
19,291,47,8
19,4836,157,13
19,1632,131,11
19,236,46,7
19,116,43,6
19,1208,107,11
19,1258,105,12
19,1476,132,12
19,1065,68,10
19,165,43,6
19,1204,81,10
19,1623,130,12
19,468,128,12
19,345,130,12
19,360,61,8
19,1062,111,11
19,610,52,9
19,630,73,10
19,600,20,2
19,1818,35,5
19,592,20,3
19,425,55,7
19,1146,22,3
19,4574,120,10
19,470,17,1
19,1245,104,10
19,484,11,0
19,899,14,0
19,430,22,3
19,222,26,4
19,88,25,4
19,120,37,6
19,118,18,2
19,262,32,5
19,264,20,3
19,104,23,3
19,185,23,4
19,182,8,0
19,811,6,0
19,1643,119,10
19,571,133,11
19,3011,148,11
19,114,23,4
19,500,37,6
20,5030,88,13
20,1864,27,9
20,250,24,7
20,4575,42,13
20,3618,40,11
20,2464,188,13
20,269,37,7
20,343,56,8
20,335,38,8
20,335,37,8
20,512,49,9
20,264,44,7
20,205,32,6
20,356,36,8
20,139,17,1
20,2870,392,13
20,505,80,10
20,1020,90,11
20,603,74,11
20,131,39,8
20,1017,72,12
20,9504,14,0
20,2200,12,0
20,110,67,8
20,3415,191,11
20,327,34,5
20,128,19,2
20,2247,17,1
20,1600,15,1
20,1387,19,2
20,1500,171,11
20,1460,147,11
20,550,23,3
20,220,43,6
20,126,29,5
20,277,19,2
20,80,19,2
20,683,25,4
20,260,32,5
20,240,35,5
20,280,32,5
20,2029,16,1
20,3170,216,12
20,1750,40,6
21,675,23,5
21,325,16,1
21,286,26,8
21,540,54,8
21,0,26,5
21,0,4,0
21,2664,20,2
21,186,25,4
21,3100,20,3
21,152,23,3
22,17366,40,13
22,218,99,9
22,1115,32,5
22,1100,45,6
22,270,22,3
22,10263,28,4
23,3828,35,11
23,50,26,4
23,270,41,7
23,128,45,8
23,882,52,7
23,115,28,4
23,166,38,6